"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Sep-2024","EQ","499.00","499.00","481.05","497.00","488.75","488.55","487.60","543.55","238.15","1,31,10,103","6,39,24,45,293.80","2,48,527"
"05-Sep-2024","EQ","507.50","507.50","495.15","503.65","497.20","497.00","500.15","543.55","238.15","1,08,30,621","5,41,69,10,645.25","1,82,156"
"04-Sep-2024","EQ","516.85","516.85","500.55","519.60","505.00","503.65","504.89","543.55","238.15","1,67,83,593","8,47,38,23,360.75","2,25,840"
"03-Sep-2024","EQ","521.00","523.60","518.25","520.85","518.80","519.60","520.33","543.55","238.15","55,26,155","2,87,54,03,343.95","1,04,008"
"02-Sep-2024","EQ","527.00","529.00","517.65","524.95","521.05","520.85","521.98","543.55","238.15","63,70,038","3,32,50,06,191.25","1,48,142"
"30-Aug-2024","EQ","530.00","537.00","522.00","527.55","523.95","524.95","526.11","543.55","227.50","3,09,21,282","16,26,80,14,874.05","1,65,710"
"29-Aug-2024","EQ","526.35","530.00","516.10","526.35","529.15","527.55","523.40","543.55","227.50","91,47,836","4,78,80,18,506.70","1,83,043"
"28-Aug-2024","EQ","533.90","535.55","525.45","531.40","526.60","526.35","529.58","543.55","227.50","60,66,259","3,21,25,84,032.90","1,41,503"
"27-Aug-2024","EQ","539.10","541.70","530.00","538.10","531.75","531.40","534.59","543.55","227.50","78,65,530","4,20,47,98,158.90","93,940"
"26-Aug-2024","EQ","542.00","543.55","534.70","538.85","538.25","538.10","539.47","543.55","227.50","71,93,307","3,88,05,58,401.65","1,02,272"
"23-Aug-2024","EQ","528.95","541.15","528.85","528.85","537.85","538.85","537.86","542.25","227.00","1,25,66,904","6,75,92,66,470.45","1,25,402"
"22-Aug-2024","EQ","534.00","535.45","526.80","532.20","529.40","528.85","529.82","542.25","227.00","85,31,700","4,52,02,79,090.35","1,46,570"
"21-Aug-2024","EQ","526.50","535.25","524.40","524.60","531.90","532.20","530.51","542.25","227.00","90,67,794","4,81,05,61,387.75","1,07,216"
"20-Aug-2024","EQ","524.35","528.45","521.05","522.00","524.80","524.60","525.34","542.25","227.00","81,91,127","4,30,31,53,158.40","1,01,773"
"19-Aug-2024","EQ","513.80","523.45","513.15","512.30","522.00","522.00","518.77","542.25","227.00","1,07,37,456","5,57,03,11,099.00","91,151"
"16-Aug-2024","EQ","507.70","515.75","502.50","504.70","511.70","512.30","508.57","542.25","227.00","73,13,429","3,71,93,91,264.20","1,11,417"
"14-Aug-2024","EQ","522.90","527.90","499.05","521.75","506.10","504.70","508.56","542.25","227.00","1,47,66,889","7,50,98,23,981.65","2,39,033"
"13-Aug-2024","EQ","525.00","529.90","520.00","523.95","521.00","521.75","524.57","542.25","227.00","52,01,294","2,72,84,28,017.05","1,03,544"
"12-Aug-2024","EQ","529.00","530.50","523.30","529.80","523.60","523.95","525.58","542.25","227.00","52,38,736","2,75,33,98,152.10","91,095"
"09-Aug-2024","EQ","530.00","531.35","521.85","523.45","529.50","529.80","527.15","542.25","227.00","64,68,264","3,40,97,40,466.30","1,03,041"
"08-Aug-2024","EQ","534.00","535.00","521.25","531.50","523.20","523.45","527.94","542.25","227.00","1,36,24,148","7,19,27,80,883.80","1,39,705"
"07-Aug-2024","EQ","507.70","532.80","507.70","499.60","530.80","531.50","525.07","542.25","227.00","1,82,93,730","9,60,55,40,113.25","2,34,497"
"06-Aug-2024","EQ","508.10","517.20","498.00","506.80","501.40","499.60","507.16","542.25","227.00","71,42,269","3,62,22,52,578.20","1,27,459"
"05-Aug-2024","EQ","515.00","515.00","497.55","524.50","506.00","506.80","506.94","542.25","227.00","1,18,35,031","5,99,96,46,686.45","1,92,750"
