"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Sep-2024","EQ","811.50","812.90","777.00","818.75","783.90","782.50","790.89","912.00","543.20","4,02,20,096","31,80,95,57,552.90","7,53,751"
"05-Sep-2024","EQ","818.35","822.15","814.40","816.50","818.00","818.75","819.29","912.00","543.20","83,95,074","6,87,80,27,979.75","1,46,739"
"04-Sep-2024","EQ","815.45","818.65","813.65","824.80","816.25","816.50","816.16","912.00","543.20","1,07,89,570","8,80,60,44,759.65","1,77,040"
"03-Sep-2024","EQ","822.15","825.95","816.40","822.15","823.40","824.80","821.71","912.00","543.20","1,05,48,350","8,66,77,21,196.75","1,97,793"
"02-Sep-2024","EQ","817.30","825.40","813.05","815.60","821.90","822.15","819.67","912.00","543.20","1,18,13,750","9,68,33,69,620.85","2,79,222"
"30-Aug-2024","EQ","817.15","820.70","814.35","814.50","816.25","815.60","816.37","912.00","543.20","89,11,426","7,27,50,03,120.65","1,61,440"
"29-Aug-2024","EQ","809.55","816.00","806.95","809.40","815.70","814.50","812.98","912.00","543.20","1,82,47,268","14,83,46,79,544.70","3,07,266"
"28-Aug-2024","EQ","814.75","817.20","806.50","815.90","807.95","809.40","812.23","912.00","543.20","1,03,71,300","8,42,39,16,166.65","1,89,651"
"27-Aug-2024","EQ","817.80","819.45","811.05","815.05","814.80","815.90","816.19","912.00","543.20","1,28,33,290","10,47,43,72,291.35","1,88,750"
"26-Aug-2024","EQ","818.00","823.45","813.80","815.35","815.40","815.05","818.73","912.00","543.20","85,23,795","6,97,87,12,521.45","1,53,882"
"23-Aug-2024","EQ","821.50","822.00","814.50","820.30","815.80","815.35","817.21","912.00","543.20","55,37,747","4,52,54,82,307.75","1,37,876"
"22-Aug-2024","EQ","819.00","823.90","817.10","815.55","820.00","820.30","820.73","912.00","543.20","78,32,917","6,42,87,45,634.45","1,70,021"
"21-Aug-2024","EQ","820.30","821.00","811.20","820.30","816.60","815.55","815.09","912.00","543.20","1,46,07,257","11,90,61,94,827.25","2,07,262"
"20-Aug-2024","EQ","817.95","823.00","813.35","813.70","819.00","820.30","819.61","912.00","543.20","1,03,47,493","8,48,09,42,023.00","1,72,376"
"19-Aug-2024","EQ","815.00","825.40","812.60","812.10","814.60","813.70","817.66","912.00","543.20","1,01,51,482","8,30,04,40,391.90","1,74,502"
"16-Aug-2024","EQ","803.00","814.90","803.00","803.00","811.40","812.10","810.05","912.00","543.20","1,14,27,335","9,25,67,64,911.30","2,51,297"
"14-Aug-2024","EQ","800.95","809.15","800.40","797.55","803.20","803.00","803.92","912.00","543.20","1,17,88,665","9,47,71,00,413.75","2,36,789"
"13-Aug-2024","EQ","813.50","820.00","795.05","812.60","797.00","797.55","807.01","912.00","543.20","1,75,85,172","14,19,14,44,287.00","3,22,018"
"12-Aug-2024","EQ","820.60","823.00","811.20","824.30","813.00","812.60","815.34","912.00","543.20","1,61,20,449","13,14,36,24,493.80","2,50,757"
"09-Aug-2024","EQ","816.00","829.95","809.55","808.05","825.00","824.30","819.02","912.00","543.20","1,53,20,885","12,54,81,31,438.55","2,12,970"
"08-Aug-2024","EQ","812.00","817.80","802.80","808.65","808.15","808.05","809.92","912.00","543.20","1,47,69,069","11,96,17,21,510.05","2,40,989"
"07-Aug-2024","EQ","809.00","810.70","800.55","797.70","809.95","808.65","805.90","912.00","543.20","1,76,92,355","14,25,81,83,262.40","2,81,837"
"06-Aug-2024","EQ","822.65","826.55","795.65","811.65","799.75","797.70","810.02","912.00","543.20","1,79,00,930","14,50,00,66,261.55","3,30,145"
"05-Aug-2024","EQ","830.00","831.35","800.00","847.85","810.00","811.65","815.37","912.00","543.20","2,76,76,951","22,56,70,00,834.00","5,39,085"
"02-Aug-2024","EQ","856.70","858.30","846.15","862.65","847.75","847.85","850.62","912.00","543.20","1,26,09,331","10,72,57,42,695.20","2,53,151"
"01-Aug-2024","EQ","877.80","881.40","859.45","872.40","861.90","862.65","870.65","912.00","543.20","1,17,87,203","10,26,25,15,137.00","1,72,670"
"31-Jul-2024","EQ","873.85","874.95","868.00","872.80","874.40","872.40","871.25","912.00","543.20","1,16,36,874","10,13,85,73,730.25","1,85,998"
"30-Jul-2024","EQ","874.70","880.55","869.00","871.60","871.65","872.80","874.10","912.00","543.20","1,35,28,447","11,82,51,52,187.65","2,32,883"
"29-Jul-2024","EQ","866.05","889.10","863.20","862.45","871.00","871.60","877.20","912.00","543.20","2,65,82,781","23,31,85,20,569.70","3,80,412"
"26-Jul-2024","EQ","844.65","864.25","844.00","848.50","859.95","862.45","857.50","912.00","543.20","1,20,81,506","10,35,98,63,504.15","1,99,144"
"25-Jul-2024","EQ","847.50","850.75","841.20","852.00","848.95","848.50","846.52","912.00","543.20","95,22,375","8,06,09,16,692.50","1,80,539"
"24-Jul-2024","EQ","864.20","868.00","847.20","863.90","853.95","852.00","854.85","912.00","543.20","1,96,24,845","16,77,63,15,258.25","3,22,758"
"23-Jul-2024","EQ","883.00","884.50","849.10","876.80","864.20","863.90","868.80","912.00","543.20","1,82,79,212","15,88,10,66,151.40","3,82,383"
"22-Jul-2024","EQ","881.45","895.00","868.00","889.35","878.00","876.80","881.14","912.00","543.20","1,46,14,111","12,87,71,04,621.30","2,83,608"
"19-Jul-2024","EQ","895.00","899.00","883.30","893.55","889.50","889.35","890.65","912.00","543.20","1,45,62,742","12,97,02,54,056.15","3,16,170"
"18-Jul-2024","EQ","880.65","894.90","877.50","880.70","892.50","893.55","889.57","912.00","543.20","1,94,35,183","17,28,89,90,051.00","3,80,546"
"16-Jul-2024","EQ","882.30","888.10","874.30","881.35","882.00","880.70","880.47","912.00","543.20","1,18,93,692","10,47,20,20,266.75","1,96,244"
"15-Jul-2024","EQ","859.70","887.35","859.70","859.70","883.00","881.35","876.59","912.00","543.20","2,53,92,820","22,25,91,53,852.55","3,25,154"
"12-Jul-2024","EQ","856.70","863.00","855.30","856.70","861.00","859.70","859.68","912.00","543.20","1,14,46,064","9,84,00,00,639.30","1,92,216"
"11-Jul-2024","EQ","854.40","858.30","849.75","849.00","856.15","856.70","854.92","912.00","543.20","85,01,366","7,26,79,81,108.40","1,77,916"
"10-Jul-2024","EQ","860.10","860.25","843.50","861.30","850.05","849.00","850.31","912.00","543.20","1,73,43,236","14,74,71,73,777.10","2,69,867"
"09-Jul-2024","EQ","859.90","869.95","856.00","856.25","856.50","861.30","863.76","912.00","543.20","1,35,85,081","11,73,42,73,121.90","2,43,152"
"08-Jul-2024","EQ","859.75","865.00","853.50","859.75","856.75","856.25","858.53","912.00","543.20","1,03,59,800","8,89,42,48,888.25","1,58,034"
"05-Jul-2024","EQ","838.00","861.25","837.00","839.30","859.60","859.75","850.91","912.00","543.20","2,48,73,722","21,16,52,31,702.90","2,79,716"
"04-Jul-2024","EQ","843.00","844.90","834.30","839.95","838.50","839.30","839.96","912.00","543.20","1,33,72,587","11,23,24,13,805.95","1,90,968"
"03-Jul-2024","EQ","829.00","843.85","825.00","826.15","841.05","839.95","834.97","912.00","543.20","2,35,98,009","19,70,35,18,122.60","2,63,776"
"02-Jul-2024","EQ","844.00","846.30","823.15","841.95","827.60","826.15","832.38","912.00","543.20","2,11,42,840","17,59,88,99,832.20","4,06,548"
"01-Jul-2024","EQ","849.35","850.50","839.95","848.95","842.80","841.95","843.77","912.00","543.20","1,09,67,797","9,25,42,44,639.05","2,00,173"
"28-Jun-2024","EQ","846.90","864.00","844.00","844.00","848.80","848.95","855.04","912.00","543.20","2,36,36,388","20,21,01,23,469.85","3,23,370"
"27-Jun-2024","EQ","843.90","847.40","838.25","845.35","845.00","844.00","843.39","912.00","543.20","2,03,78,887","17,18,74,12,738.55","3,20,327"
"26-Jun-2024","EQ","839.85","848.80","836.00","842.25","844.25","845.35","843.76","912.00","543.20","1,62,81,760","13,73,78,68,669.05","2,36,219"
"25-Jun-2024","EQ","837.00","845.85","834.30","832.70","841.95","842.25","841.30","912.00","543.20","2,09,17,530","17,59,78,95,341.85","2,78,788"
"24-Jun-2024","EQ","831.50","836.00","821.05","836.30","833.50","832.70","829.99","912.00","543.20","1,27,15,254","10,55,35,68,351.95","2,29,601"
"21-Jun-2024","EQ","844.90","848.05","828.60","843.75","834.45","836.30","837.22","912.00","543.20","1,89,90,090","15,89,88,75,069.30","3,05,592"
"20-Jun-2024","EQ","853.00","853.10","842.35","852.60","844.90","843.75","846.89","912.00","543.20","1,39,85,352","11,84,41,05,365.70","2,14,049"
"19-Jun-2024","EQ","846.80","860.60","841.00","844.90","854.30","852.60","850.68","912.00","543.20","3,29,25,140","28,00,86,46,934.95","3,94,742"
"18-Jun-2024","EQ","841.55","851.50","840.25","839.20","845.30","844.90","847.17","912.00","543.20","1,49,29,083","12,64,75,06,030.85","2,41,973"
"14-Jun-2024","EQ","845.00","849.90","835.10","843.90","839.20","839.20","841.90","912.00","543.20","1,29,03,496","10,86,34,38,124.70","2,06,549"
"13-Jun-2024","EQ","845.00","845.90","836.10","839.10","844.95","843.90","842.29","912.00","543.20","1,25,23,972","10,54,88,43,617.45","1,85,661"
"12-Jun-2024","EQ","837.00","845.55","833.00","835.55","838.85","839.10","840.25","912.00","543.20","1,50,71,442","12,66,38,19,955.65","2,47,749"
"11-Jun-2024","EQ","836.00","839.60","829.05","831.80","835.50","835.55","835.28","912.00","543.20","1,47,54,408","12,32,40,05,252.55","2,23,238"
"10-Jun-2024","EQ","834.15","845.45","829.20","829.95","830.80","831.80","837.18","912.00","543.20","1,67,25,508","14,00,22,92,421.20","2,83,108"
"07-Jun-2024","EQ","819.90","831.50","810.50","816.95","829.25","829.95","823.33","912.00","543.20","2,50,61,284","20,63,38,08,796.00","3,46,989"
"06-Jun-2024","EQ","800.00","833.35","796.00","789.75","817.00","816.95","818.98","912.00","543.20","4,05,55,649","33,21,41,56,708.95","6,11,412"
"05-Jun-2024","EQ","790.75","795.00","744.05","775.20","787.55","789.75","771.20","912.00","543.20","7,42,56,082","57,26,65,40,264.65","11,47,451"
"04-Jun-2024","EQ","897.00","897.00","731.95","905.65","784.60","775.20","803.85","912.00","543.20","12,23,81,193","98,37,57,60,977.65","19,04,773"
"03-Jun-2024","EQ","863.55","912.00","856.75","830.35","909.05","905.65","890.20","912.00","543.20","6,42,69,020","57,21,23,26,883.50","12,42,769"
"31-May-2024","EQ","830.70","835.00","817.10","825.85","832.25","830.35","827.92","841.25","543.20","2,22,67,336","18,43,55,62,035.65","3,13,614"
"30-May-2024","EQ","821.40","836.00","819.30","822.65","828.90","825.85","828.27","841.25","543.20","1,78,18,705","14,75,86,26,273.60","4,38,243"
"29-May-2024","EQ","828.40","834.45","819.30","831.15","825.00","822.65","825.29","841.25","543.20","1,45,18,232","11,98,17,97,386.95","2,43,373"
"28-May-2024","EQ","835.70","840.70","823.30","833.70","830.80","831.15","832.45","841.25","543.20","1,38,18,893","11,50,35,19,499.10","2,06,371"
"27-May-2024","EQ","832.60","839.40","823.00","828.60","833.35","833.70","833.52","841.25","543.20","1,22,95,193","10,24,83,01,213.70","2,19,095"
"24-May-2024","EQ","830.00","841.25","827.00","832.10","828.00","828.60","835.17","841.25","543.20","1,22,52,075","10,23,25,81,868.55","2,36,666"
